latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
26.63897,79.47527,303.97,0.47,0.64,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,286.27,1.19,N
23.77852,86.3873,301.55,0.5,0.41,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,266.08,1.39,N
23.77415,86.36121,300.63,0.51,0.41,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,267.36,0.91,N
23.77352,86.36621,299,0.51,0.41,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,268.25,0.9,N
23.7691,86.4009,299.51,0.5,0.41,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,269.55,0.92,N
23.76847,86.40588,297.86,0.5,0.41,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,270.18,1.09,N
23.76471,86.40529,310.62,0.5,0.41,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,271.61,1.09,N
23.77834,86.39065,300.35,0.5,0.41,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,265.2,0.67,N
23.77411,86.36466,308.56,0.5,0.41,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,267.87,1.53,N
23.76884,86.40425,303.63,0.5,0.41,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,271.31,1.81,N
19.09634,82.16804,295.25,0.52,0.5,2026-07-22,1949,SNPP,SNPP,n,2.0NRT,276.97,1.17,N
28.71034,76.85629,304.36,0.71,0.75,2026-07-22,1949,SNPP,SNPP,n,2.0NRT,284.31,1,N
15.11372,80.01838,299.73,0.32,0.55,2026-07-22,1951,SNPP,SNPP,n,2.0NRT,277.98,1,N
15.02532,78.01366,298.81,0.43,0.62,2026-07-22,1951,SNPP,SNPP,n,2.0NRT,280.91,0.98,N
27.66849,76.13383,303.92,0.34,0.56,2026-07-22,2127,SNPP,SNPP,n,2.0NRT,287.24,0.7,N
27.66928,76.13039,305.95,0.34,0.56,2026-07-22,2127,SNPP,SNPP,n,2.0NRT,287.36,0.9,N
15.17627,77.09908,300.95,0.72,0.75,2026-07-22,2131,SNPP,SNPP,n,2.0NRT,281.25,1.71,N
15.17708,77.10023,304.71,0.72,0.75,2026-07-22,2131,SNPP,SNPP,n,2.0NRT,282.14,2.11,N
9.07191,77.80376,344.78,0.4,0.44,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,307.02,6.25,D
8.75839,78.18192,334.92,0.41,0.45,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,302.86,6.29,D
8.75995,78.18253,335.62,0.41,0.45,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,303.04,3.79,D
8.83569,77.65315,335.29,0.38,0.44,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,301.26,2.27,D
9.04247,78.23987,332.42,0.42,0.45,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,300.34,1.39,D
9.02358,78.04476,333.35,0.41,0.45,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,299.8,3,D
9.12108,77.88631,339.71,0.4,0.44,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,305.6,4.6,D
9.2478,78.51723,333.1,0.44,0.46,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,300.93,1,D
9.22084,77.77129,344.85,0.4,0.44,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,307.47,9.03,D
9.22492,77.77073,347.18,0.4,0.44,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,308.54,10.59,D
9.30218,78.09783,351.68,0.42,0.45,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,308.66,10.42,D
9.30635,78.09724,342.67,0.42,0.45,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,310.26,10.42,D
9.2689,77.47028,342.03,0.57,0.43,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,301.5,6.16,D
9.37534,77.57722,332.64,0.39,0.44,2026-07-23,0837,SNPP,SNPP,n,2.0NRT,301.23,1.99,D
11.43772,77.28219,330.99,0.4,0.44,2026-07-23,0839,SNPP,SNPP,n,2.0NRT,293.75,1.61,D
12.16714,77.35521,335.16,0.41,0.45,2026-07-23,0839,SNPP,SNPP,n,2.0NRT,300.02,5.2,D
12.67344,79.98261,333.41,0.62,0.54,2026-07-23,0839,SNPP,SNPP,n,2.0NRT,298.78,5.3,D
